date,lat,lon,frp,confidence,night,satellite
2021-06-11,60.31592,25.52673,35,101,False,N
2021-06-12,66.51933,28.18515,59,102,False,1
2021-06-13,60.28728,22.29061,22,102,True,1
2021-07-05,62.59412,25.74678,14,102,True,N
2021-07-09,64.64355,24.42439,96,102,False,1
2021-07-11,61.03065,28.17694,10,102,True,1
2021-07-12,64.64749,24.43227,36,101,False,1
2021-07-13,60.28888,22.2899,6,102,True,N
2021-07-19,60.2864,22.29246,19,102,True,N
2021-07-22,61.04182,21.37045,5,102,True,1
2021-07-26,64.64416,24.42387,9,102,True,N
2021-07-27,64.0102,24.1647,42,101,False,N
2021-07-29,64.00131,24.12919,46,102,True,N
2021-08-04,65.76652,24.18402,9,102,True,1
2021-08-31,60.28686,22.29194,19,102,True,N
2021-08-31,63.74204,27.00776,7,102,True,1
2021-09-01,64.65852,24.42918,16,102,True,1
2021-09-08,64.65552,24.42875,15,102,True,N
2021-09-09,64.6546,24.42619,28,102,True,N
2021-09-28,64.64265,24.42376,24,102,True,1
2021-09-29,64.64432,24.43209,34,102,False,1
2021-10-03,60.28735,22.29062,13,102,True,N
2021-11-11,64.65068,24.43902,25,102,True,1
2021-12-22,64.64377,24.42944,54,102,True,N
2022-01-07,65.76648,24.18307,75,102,True,1
2022-02-18,60.28994,22.28207,16,102,True,1
2022-04-11,60.29992,25.52679,3,102,True,N
2022-04-17,60.28816,22.29409,10,102,True,N
2022-04-24,60.28725,22.28796,17,102,True,N
2022-04-25,64.64593,24.4253,37,102,False,1
2022-04-28,60.28556,22.29086,17,102,True,N
2022-05-03,65.77177,24.1894,19,102,True,1
2022-05-08,64.64568,24.42893,46,102,True,1
2022-05-28,65.76622,24.18728,42,102,False,1
2022-06-29,63.6622,23.6629,41,102,False,N
2022-07-03,62.845,22.95565,30,102,False,1
2022-07-15,60.30198,25.51167,127,102,True,N
2022-07-28,61.12971,28.44852,6,102,True,N
2022-08-04,60.28679,22.29227,18,102,False,1
2022-08-09,65.77093,24.18198,14,102,False,1
2022-08-03,65.77101,24.18659,29,102,False,N
2022-08-14,60.28747,22.28957,18,102,False,1
2022-08-09,63.69995,22.71444,7,102,False,N
2022-08-16,60.80413,26.5114,5,102,False,1
2022-08-26,63.70065,22.71067,7,102,False,N
2022-08-28,64.64906,24.42789,22,102,False,N
2022-09-08,62.17409,24.59184,38,102,False,N
2022-10-24,60.28849,22.29204,9,102,False,1
2023-03-29,60.29508,25.49104,21,102,False,1
2023-04-20,60.28681,22.28742,16,102,False,1
2023-04-08,64.64631,24.425,33,102,False,1
2023-04-10,64.64343,24.42786,31,102,False,N
2023-04-15,64.64711,24.43221,53,102,False,N
2023-04-18,60.28761,22.29209,10,102,False,1
2023-05-27,64.6442,24.42901,56,102,False,1
2023-06-13,64.64596,24.4294,40,102,False,N
2023-06-30,61.31961,22.12094,40,102,False,1
2023-08-19,64.65733,24.4357,14,102,False,1
2023-08-22,60.29959,25.52712,5,102,False,N
2023-08-27,64.65531,24.43025,9,102,False,1
2023-08-30,60.28612,22.28467,8,102,False,1
2023-09-01,61.88578,27.99606,3,102,False,N
2023-09-07,61.49086,23.17735,9,102,False,1
2023-09-08,60.28598,22.28992,10,102,False,1
2023-09-09,63.93479,23.30644,28,102,False,N
2023-09-12,61.14658,28.79505,8,102,False,N
2024-05-02,64.64442,24.42344,139,102,False,N
2024-05-15,63.14778,24.96186,23,102,False,1
2024-05-18,61.81345,21.81649,28,102,False,1
2024-05-25,65.76637,24.18604,34,102,False,N
2024-05-27,65.78059,24.20276,32,102,False,N
2024-06-01,63.05761,27.04359,71,103,False,1
2024-06-06,67.63712,27.25662,311,102,False,1
2024-06-15,64.64559,24.43057,33,102,False,N
2024-07-02,60.90739,26.66347,4,102,False,N
2024-07-09,61.13092,28.45558,7,102,False,1
2024-07-17,64.64624,24.44682,15,101,False,2
2024-07-23,64.64614,24.42702,36,102,False,N
2024-07-22,63.69899,22.71396,6,102,False,2
2024-07-27,61.03003,28.1737,8,102,False,2
2024-08-07,60.28307,25.02428,5,102,False,1
2024-08-08,65.97059,26.76864,1619,101,False,2
2024-08-08,64.97405,29.58693,76,102,False,N
2024-08-14,64.6435,24.42784,14,102,False,N
2024-08-14,64.64814,24.42766,13,102,False,1
2024-08-15,60.28738,22.28904,7,102,False,1
2024-08-16,60.31205,25.53446,4,102,False,1
2024-08-17,62.59508,25.75196,5,102,False,2
2024-08-19,62.5942,25.74699,5,102,False,1
2024-08-19,64.64569,24.42859,39,102,False,2
2024-08-21,62.59426,25.74939,12,102,False,1
2024-08-26,61.12954,28.4532,5,102,False,1
2024-09-06,65.77155,24.18904,25,102,False,1
2024-09-20,60.90734,26.66273,5,102,False,1
2024-09-21,64.64572,24.42883,19,102,False,1
2024-09-29,65.76682,24.18106,32,102,False,1
2024-10-05,64.64596,24.42644,24,102,False,1
2024-10-17,60.28577,22.29035,10,102,False,N
2024-10-22,64.64532,24.43236,23,102,False,N
2024-10-29,65.75536,24.5285,6,102,False,2
2025-01-05,64.64542,24.4283,47,102,False,N
2025-01-14,64.64403,24.42289,77,102,False,1
2025-01-18,65.7655,24.18593,20,102,False,N
2025-02-10,65.76659,24.18396,44,102,False,1
2025-03-02,64.65792,24.43394,12,102,False,N
2025-04-05,64.10935,24.01686,34,102,False,2
2025-04-10,60.61324,26.30572,21,102,False,N
2025-04-20,64.64558,24.42926,32,102,False,N
2025-04-24,65.75566,24.52378,11,102,False,2
2025-04-24,64.64606,24.42751,14,102,False,1
2025-04-27,64.6459,24.43249,19,102,False,1
2025-04-30,60.29846,24.91103,5,102,False,N
2025-05-16,64.64671,24.4332,10,102,False,N
2025-05-19,60.83402,24.33666,45,102,False,1
2025-05-19,64.64472,24.42809,26,102,False,1
2025-06-14,60.90694,26.66622,6,102,False,1
2025-06-16,64.03663,24.79305,47,102,False,1
2025-07-19,65.75609,24.5305,8,102,False,2
2025-07-21,68.01404,24.97439,154,102,False,1
2025-07-22,66.71233,29.0566,44,102,False,1
2025-07-23,64.64185,24.42573,55,102,False,1
2025-07-24,61.06338,28.23854,8,102,False,1
2025-08-01,64.8813,27.29736,131,102,False,1
2025-08-05,61.06593,28.24169,6,102,False,N
2025-08-04,64.64588,24.43044,26,102,False,2
2025-08-04,64.64462,24.42294,71,102,False,1
2025-08-06,64.64784,24.42958,19,102,False,N
2025-08-09,63.70274,22.71033,2,102,False,1
2025-08-09,65.76503,24.18783,52,102,False,2
2025-08-08,63.70104,22.71309,5,102,False,N
2025-08-11,65.76443,24.18794,70,102,False,1
2025-08-13,64.64462,24.43319,83,102,False,1
2025-08-23,64.64383,24.42667,15,102,False,N
2025-09-16,64.6477,24.42924,18,102,False,1
2025-09-17,64.64565,24.42605,17,102,False,2
2025-09-23,64.64686,24.42718,29,102,False,2
2025-09-25,64.64652,24.42817,11,102,False,N
2025-09-29,61.49712,27.22547,8,102,False,1
2025-10-18,64.64312,24.42655,43,102,False,2
2025-11-30,64.64585,24.43969,16,101,False,2
2025-12-12,64.6427,24.42809,54,102,False,N
2025-12-20,65.76651,24.1808,29,102,False,1
2026-03-21,61.12911,28.44827,6,102,False,2
2026-04-10,62.02275,29.52954,32,102,False,2
2026-04-13,64.64336,24.42881,9,102,False,N
2026-04-18,67.72272,24.85314,67,102,False,2
