date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire,days_since_rain,temp_rolling_7d,precip_7d_sum,consecutive_dry_days
2017-09-06,101785,64.66589,24.40695,11.27,73.21,3.66,,1,0.0,12.005714285714285,,0.0
2023-07-24,100947,60.37788,22.0964,17.94,69.83,4.33,,1,0.0,17.177142857142858,,0.0
2023-08-22,101932,67.36663,26.62901,12.51,76.12,1.42,0.0,1,4.0,13.161428571428571,27.0,4.0
2019-07-01,101785,64.66589,24.40695,13.11,87.12,6.49,,1,0.0,12.865714285714287,,0.0
2016-05-09,101785,64.66589,24.40695,6.92,72.83,3.13,,1,0.0,7.821428571428571,,0.0
2020-07-30,101196,61.200083,26.049667,15.24,83.33,,0.9,1,0.0,14.995714285714286,48.4,0.0
2022-06-28,101950,66.715557,27.159063,19.12,48.75,3.16,0.0,1,4.0,16.694285714285716,0.6000000000000001,4.0
2019-07-26,100947,60.37788,22.0964,22.21,73.21,2.6,,1,0.0,19.784285714285716,,0.0
2019-04-24,100947,60.37788,22.0964,10.47,57.88,0.7,,1,0.0,6.651428571428572,,0.0
2020-07-24,100947,60.37788,22.0964,13.03,85.08,4.78,,1,0.0,18.267142857142858,,0.0
2023-07-12,101785,64.66589,24.40695,19.63,62.04,3.57,,1,0.0,15.692857142857141,,0.0
2025-07-11,101103,61.25294,22.34613,15.81,77.62,3.26,1.4,1,3.0,14.612857142857143,20.9,3.0
2021-10-18,101851,65.868932,24.179364,1.59,73.29,3.28,0.0,1,0.0,4.28,83.9,0.0
2020-03-26,101851,65.868932,24.179364,1.23,74.88,2.62,0.0,1,7.0,-2.314285714285714,0.0,7.0
2018-07-31,101486,62.938083,22.488778,23.37,77.96,2.52,0.5,1,7.0,23.877142857142854,0.0,7.0
2021-08-18,100947,60.37788,22.0964,15.8,84.5,9.65,,1,0.0,17.757142857142856,,0.0
2023-06-18,100947,60.37788,22.0964,22.21,50.71,6.34,,1,0.0,17.231428571428573,,0.0
2023-09-09,101362,61.704484,25.505293,15.94,87.12,4.91,,1,0.0,14.945714285714287,,0.0
2021-08-15,101785,64.66589,24.40695,14.95,86.67,3.9,,1,0.0,16.755714285714284,,0.0
2023-09-25,100683,60.303725,25.549164,13.93,79.79,3.53,,1,0.0,15.69,,0.0
2015-04-17,100947,60.37788,22.0964,4.41,74.42,7.69,,1,0.0,4.184285714285714,,0.0
2021-09-10,101851,65.868932,24.179364,7.04,85.13,1.47,0.0,1,1.0,8.897142857142857,2.3,1.0
2021-04-16,101291,61.838642,22.463678,7.21,42.62,3.1,0.0,1,3.0,3.207142857142857,13.700000000000001,3.0
2018-04-23,101151,61.114537,24.324488,4.0,65.58,,0.0,1,1.0,7.041428571428571,12.4,1.0
2025-08-10,101660,63.75144,22.52282,16.95,80.25,7.94,,1,0.0,17.72142857142857,,0.0
2022-04-12,100683,60.303725,25.549164,1.32,89.79,3.61,,1,0.0,1.7128571428571429,,0.0
2016-02-13,100947,60.37788,22.0964,0.09,80.58,5.89,,1,0.0,1.9957142857142858,,0.0
2025-03-09,101851,65.868932,24.179364,-1.8,75.88,1.7,0.0,1,0.0,-1.7771428571428574,12.9,0.0
2022-08-13,137208,62.393322,25.688617,14.42,68.54,1.4,0.0,1,0.0,15.20142857142857,1.4,0.0
2016-05-12,137208,62.393322,25.688617,9.68,55.79,2.26,0.0,1,1.0,12.842857142857142,1.5,1.0
2020-04-27,101572,63.143426,27.313171,1.99,61.75,2.93,0.0,1,2.0,2.891428571428572,2.9,2.0
2018-06-12,101785,64.66589,24.40695,10.15,69.71,7.81,,1,0.0,9.648571428571428,,0.0
2024-12-03,101851,65.868932,24.179364,-7.03,80.75,2.1,0.0,1,0.0,-4.6971428571428575,6.2,0.0
2025-07-15,101555,62.921782,26.424701,22.13,69.58,,0.0,1,3.0,17.782857142857143,2.7,3.0
2020-04-12,101851,65.868932,24.179364,-1.05,88.42,4.54,23.7,1,4.0,-0.8042857142857144,0.6,4.0
2018-06-18,101528,63.44564,24.44422,15.95,66.42,3.08,,1,0.0,13.657142857142857,,0.0
2022-08-23,101660,63.75144,22.52282,,,3.21,,1,0.0,,,0.0
2021-06-02,101528,63.44564,24.44422,15.05,56.92,0.99,,1,0.0,8.891428571428571,,0.0
2020-03-14,101785,64.66589,24.40695,-4.41,65.5,7.64,,1,0.0,0.9942857142857143,,0.0
2020-06-13,101191,60.898392,26.948819,19.1,44.5,2.51,,1,0.0,16.304285714285715,,0.0
2024-06-01,101785,64.66589,24.40695,18.3,74.71,2.07,,1,0.0,14.928571428571429,,0.0
2024-08-22,101785,64.66589,24.40695,17.68,80.79,6.45,,1,0.0,17.452857142857145,,0.0
2022-11-13,855522,61.68751,27.20671,3.71,86.08,2.62,0.0,1,0.0,6.49,17.4,0.0
2017-07-01,101785,64.66589,24.40695,18.75,43.42,4.36,,1,0.0,12.757142857142856,,0.0
